Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.230518	-1.230518
1	0.950747	750	-1.204921	-2.435439
2	0.926679	750	-1.202360	-3.637799
3	0.902980	750	-1.171490	-4.809289
4	0.879648	750	-1.153660	-5.962949
5	0.856682	750	-1.147999	-7.110948
6	0.834079	750	-1.118953	-8.229901
7	0.811838	750	-1.117004	-9.346905
8	0.789957	750	-1.108041	-10.454946
9	0.768433	750	-1.090199	-11.545145
10	0.747266	750	-1.062030	-12.607175
11	0.726452	750	-1.079833	-13.687008
12	0.705989	750	-1.034362	-14.721370
13	0.685877	750	-1.009403	-15.730773
14	0.666112	750	-1.000637	-16.731410
15	0.646693	750	-0.970783	-17.702194
16	0.627618	750	-0.973558	-18.675752
17	0.608884	750	-0.957335	-19.633087
18	0.590490	750	-0.949759	-20.582845
19	0.572433	750	-0.920886	-21.503732
20	0.554712	750	-0.901540	-22.405271
21	0.537324	750	-0.897032	-23.302304
22	0.520268	750	-0.879478	-24.181781
23	0.503540	750	-0.853927	-25.035708
24	0.487139	750	-0.844032	-25.879740
25	0.471063	750	-0.822227	-26.701968
26	0.455310	750	-0.812470	-27.514437
27	0.439877	750	-0.791569	-28.306007
28	0.424762	750	-0.789605	-29.095612
29	0.409963	750	-0.760434	-29.856046
30	0.395478	750	-0.755248	-30.611294
31	0.381305	750	-0.734967	-31.346261
32	0.367440	750	-0.737626	-32.083887
33	0.353883	750	-0.720246	-32.804133
34	0.340630	750	-0.702832	-33.506965
35	0.327680	750	-0.689474	-34.196439
36	0.315030	750	-0.673186	-34.869624
37	0.302677	750	-0.662936	-35.532561
38	0.290619	750	-0.633773	-36.166334
39	0.278855	750	-0.635764	-36.802098
40	0.267381	750	-0.603768	-37.405866
41	0.256195	750	-0.592121	-37.997987
42	0.245294	750	-0.570235	-38.568222
43	0.234677	750	-0.581920	-39.150142
44	0.224340	750	-0.571981	-39.722124
45	0.214281	750	-0.556499	-40.278622
46	0.204498	750	-0.523899	-40.802522
47	0.194988	750	-0.525256	-41.327778
48	0.185749	750	-0.508946	-41.836724
49	0.176777	750	-0.502711	-42.339436
50	0.168070	750	-0.490854	-42.830290
51	0.159626	750	-0.465804	-43.296093
52	0.151441	750	-0.457335	-43.753429
53	0.143514	750	-0.452180	-44.205609
54	0.135841	750	-0.431572	-44.637181
55	0.128420	750	-0.429074	-45.066255
56	0.121247	750	-0.414796	-45.481051
57	0.114320	750	-0.408121	-45.889173
58	0.107637	750	-0.394471	-46.283644
59	0.101193	750	-0.378289	-46.661933
60	0.094986	750	-0.368341	-47.030274
61	0.089014	750	-0.362520	-47.392794
62	0.083273	750	-0.341014	-47.733808
63	0.077760	750	-0.346843	-48.080651
64	0.072472	750	-0.316244	-48.396895
65	0.067406	750	-0.315985	-48.712880
66	0.062558	750	-0.302012	-49.014892
67	0.057926	750	-0.302445	-49.317337
68	0.053506	750	-0.274706	-49.592043
69	0.049295	750	-0.284647	-49.876690
70	0.045289	750	-0.263551	-50.140241
71	0.041485	750	-0.253872	-50.394113
72	0.037880	750	-0.240454	-50.634567
73	0.034469	750	-0.231562	-50.866128
74	0.031250	750	-0.224830	-51.090958
75	0.028218	750	-0.200265	-51.291224
76	0.025370	750	-0.194203	-51.485427
77	0.022702	750	-0.191746	-51.677172
78	0.020209	750	-0.178160	-51.855332
79	0.017889	750	-0.167389	-52.022721
80	0.015736	750	-0.158901	-52.181622
81	0.013746	750	-0.153725	-52.335347
82	0.011916	750	-0.147802	-52.483149
83	0.010240	750	-0.130139	-52.613288
84	0.008714	750	-0.117701	-52.730990
85	0.007334	750	-0.117240	-52.848230
86	0.006093	750	-0.109489	-52.957719
87	0.004988	750	-0.093067	-53.050786
88	0.004013	750	-0.081536	-53.132323
89	0.003162	750	-0.070408	-53.202731
90	0.002430	750	-0.061441	-53.264172
91	0.001810	750	-0.051911	-53.316083
92	0.001296	750	-0.044837	-53.360920
93	0.000882	750	-0.038009	-53.398929
94	0.000559	750	-0.029307	-53.428236
95	0.000320	750	-0.021966	-53.450202
96	0.000156	750	-0.016114	-53.466316
97	0.000057	750	-0.008244	-53.474560
98	0.000010	750	-0.003866	-53.478426
99	0.000000	750	-0.000932	-53.479358
Log marginal likelihood:	-53.479358
