Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.412021	-1.412021
1	0.950747	750	-1.388178	-2.800199
2	0.926679	750	-1.357885	-4.158084
3	0.902980	750	-1.339455	-5.497539
4	0.879648	750	-1.341380	-6.838919
5	0.856682	750	-1.327428	-8.166347
6	0.834079	750	-1.306358	-9.472705
7	0.811838	750	-1.272288	-10.744993
8	0.789957	750	-1.242230	-11.987223
9	0.768433	750	-1.229111	-13.216334
10	0.747266	750	-1.218883	-14.435217
11	0.726452	750	-1.187345	-15.622562
12	0.705989	750	-1.186576	-16.809139
13	0.685877	750	-1.166236	-17.975374
14	0.666112	750	-1.131302	-19.106676
15	0.646693	750	-1.136661	-20.243338
16	0.627618	750	-1.103592	-21.346930
17	0.608884	750	-1.082125	-22.429054
18	0.590490	750	-1.058342	-23.487396
19	0.572433	750	-1.052257	-24.539653
20	0.554712	750	-1.028198	-25.567851
21	0.537324	750	-1.013423	-26.581274
22	0.520268	750	-0.994347	-27.575621
23	0.503540	750	-0.984815	-28.560436
24	0.487139	750	-0.962741	-29.523177
25	0.471063	750	-0.937593	-30.460770
26	0.455310	750	-0.931694	-31.392464
27	0.439877	750	-0.912130	-32.304594
28	0.424762	750	-0.892749	-33.197342
29	0.409963	750	-0.878637	-34.075979
30	0.395478	750	-0.854878	-34.930857
31	0.381305	750	-0.840677	-35.771533
32	0.367440	750	-0.844850	-36.616383
33	0.353883	750	-0.812080	-37.428464
34	0.340630	750	-0.794169	-38.222633
35	0.327680	750	-0.779121	-39.001754
36	0.315030	750	-0.750430	-39.752184
37	0.302677	750	-0.733537	-40.485721
38	0.290619	750	-0.724717	-41.210438
39	0.278855	750	-0.711874	-41.922312
40	0.267381	750	-0.692417	-42.614730
41	0.256195	750	-0.682005	-43.296734
42	0.245294	750	-0.666885	-43.963619
43	0.234677	750	-0.647437	-44.611056
44	0.224340	750	-0.630480	-45.241536
45	0.214281	750	-0.623291	-45.864828
46	0.204498	750	-0.593317	-46.458144
47	0.194988	750	-0.589545	-47.047689
48	0.185749	750	-0.583822	-47.631511
49	0.176777	750	-0.569864	-48.201376
50	0.168070	750	-0.538937	-48.740312
51	0.159626	750	-0.521599	-49.261911
52	0.151441	750	-0.522272	-49.784183
53	0.143514	750	-0.492005	-50.276188
54	0.135841	750	-0.482276	-50.758464
55	0.128420	750	-0.472368	-51.230833
56	0.121247	750	-0.456293	-51.687125
57	0.114320	750	-0.442454	-52.129579
58	0.107637	750	-0.428148	-52.557727
59	0.101193	750	-0.414024	-52.971751
60	0.094986	750	-0.404946	-53.376697
61	0.089014	750	-0.396784	-53.773481
62	0.083273	750	-0.378471	-54.151952
63	0.077760	750	-0.369621	-54.521573
64	0.072472	750	-0.353308	-54.874882
65	0.067406	750	-0.350694	-55.225576
66	0.062558	750	-0.327163	-55.552738
67	0.057926	750	-0.320488	-55.873226
68	0.053506	750	-0.305141	-56.178367
69	0.049295	750	-0.294343	-56.472710
70	0.045289	750	-0.275828	-56.748538
71	0.041485	750	-0.273522	-57.022061
72	0.037880	750	-0.258849	-57.280910
73	0.034469	750	-0.246460	-57.527370
74	0.031250	750	-0.224951	-57.752321
75	0.028218	750	-0.220285	-57.972606
76	0.025370	750	-0.217073	-58.189679
77	0.022702	750	-0.209967	-58.399646
78	0.020209	750	-0.191312	-58.590958
79	0.017889	750	-0.175525	-58.766483
80	0.015736	750	-0.167957	-58.934440
81	0.013746	750	-0.149522	-59.083962
82	0.011916	750	-0.156754	-59.240716
83	0.010240	750	-0.126315	-59.367031
84	0.008714	750	-0.114699	-59.481729
85	0.007334	750	-0.122781	-59.604510
86	0.006093	750	-0.102729	-59.707239
87	0.004988	750	-0.092271	-59.799510
88	0.004013	750	-0.080555	-59.880066
89	0.003162	750	-0.071176	-59.951241
90	0.002430	750	-0.062823	-60.014064
91	0.001810	750	-0.050159	-60.064223
92	0.001296	750	-0.045109	-60.109332
93	0.000882	750	-0.038094	-60.147426
94	0.000559	750	-0.026874	-60.174299
95	0.000320	750	-0.021776	-60.196075
96	0.000156	750	-0.015146	-60.211221
97	0.000057	750	-0.008755	-60.219976
98	0.000010	750	-0.003976	-60.223952
99	0.000000	750	-0.000894	-60.224847
Log marginal likelihood:	-60.224847
