Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.320533	-1.320533
1	0.950747	750	-1.301698	-2.622231
2	0.926679	750	-1.261185	-3.883416
3	0.902980	750	-1.256795	-5.140211
4	0.879648	750	-1.243836	-6.384048
5	0.856682	750	-1.233987	-7.618034
6	0.834079	750	-1.205297	-8.823331
7	0.811838	750	-1.198663	-10.021994
8	0.789957	750	-1.165089	-11.187083
9	0.768433	750	-1.152150	-12.339233
10	0.747266	750	-1.136642	-13.475875
11	0.726452	750	-1.114121	-14.589996
12	0.705989	750	-1.103756	-15.693752
13	0.685877	750	-1.077383	-16.771135
14	0.666112	750	-1.075714	-17.846849
15	0.646693	750	-1.045989	-18.892838
16	0.627618	750	-1.052555	-19.945394
17	0.608884	750	-1.016658	-20.962052
18	0.590490	750	-1.013369	-21.975420
19	0.572433	750	-0.982513	-22.957934
20	0.554712	750	-0.966215	-23.924149
21	0.537324	750	-0.969759	-24.893908
22	0.520268	750	-0.930685	-25.824592
23	0.503540	750	-0.955934	-26.780527
24	0.487139	750	-0.910294	-27.690821
25	0.471063	750	-0.882752	-28.573572
26	0.455310	750	-0.889233	-29.462805
27	0.439877	750	-0.847282	-30.310087
28	0.424762	750	-0.849682	-31.159769
29	0.409963	750	-0.817052	-31.976820
30	0.395478	750	-0.813133	-32.789953
31	0.381305	750	-0.792586	-33.582539
32	0.367440	750	-0.765238	-34.347776
33	0.353883	750	-0.778590	-35.126366
34	0.340630	750	-0.758103	-35.884469
35	0.327680	750	-0.739347	-36.623817
36	0.315030	750	-0.716185	-37.340002
37	0.302677	750	-0.710393	-38.050395
38	0.290619	750	-0.719826	-38.770221
39	0.278855	750	-0.681860	-39.452081
40	0.267381	750	-0.645494	-40.097575
41	0.256195	750	-0.653619	-40.751194
42	0.245294	750	-0.653237	-41.404431
43	0.234677	750	-0.625701	-42.030132
44	0.224340	750	-0.604970	-42.635102
45	0.214281	750	-0.600277	-43.235379
46	0.204498	750	-0.560930	-43.796309
47	0.194988	750	-0.565403	-44.361712
48	0.185749	750	-0.555090	-44.916802
49	0.176777	750	-0.532255	-45.449056
50	0.168070	750	-0.512352	-45.961408
51	0.159626	750	-0.524604	-46.486012
52	0.151441	750	-0.508542	-46.994554
53	0.143514	750	-0.486651	-47.481206
54	0.135841	750	-0.508151	-47.989357
55	0.128420	750	-0.461202	-48.450559
56	0.121247	750	-0.449435	-48.899994
57	0.114320	750	-0.459767	-49.359761
58	0.107637	750	-0.417693	-49.777454
59	0.101193	750	-0.414405	-50.191859
60	0.094986	750	-0.412561	-50.604420
61	0.089014	750	-0.393033	-50.997453
62	0.083273	750	-0.374516	-51.371970
63	0.077760	750	-0.357364	-51.729333
64	0.072472	750	-0.355921	-52.085254
65	0.067406	750	-0.348313	-52.433567
66	0.062558	750	-0.325374	-52.758941
67	0.057926	750	-0.316801	-53.075743
68	0.053506	750	-0.301559	-53.377302
69	0.049295	750	-0.293538	-53.670840
70	0.045289	750	-0.283541	-53.954381
71	0.041485	750	-0.277811	-54.232192
72	0.037880	750	-0.269277	-54.501469
73	0.034469	750	-0.245129	-54.746598
74	0.031250	750	-0.252780	-54.999377
75	0.028218	750	-0.229844	-55.229221
76	0.025370	750	-0.195646	-55.424867
77	0.022702	750	-0.197079	-55.621947
78	0.020209	750	-0.183403	-55.805349
79	0.017889	750	-0.172703	-55.978052
80	0.015736	750	-0.163959	-56.142012
81	0.013746	750	-0.154262	-56.296273
82	0.011916	750	-0.133887	-56.430160
83	0.010240	750	-0.130547	-56.560707
84	0.008714	750	-0.112794	-56.673501
85	0.007334	750	-0.108556	-56.782057
86	0.006093	750	-0.088535	-56.870592
87	0.004988	750	-0.099188	-56.969780
88	0.004013	750	-0.081045	-57.050825
89	0.003162	750	-0.064292	-57.115117
90	0.002430	750	-0.059776	-57.174893
91	0.001810	750	-0.052680	-57.227572
92	0.001296	750	-0.041215	-57.268788
93	0.000882	750	-0.033455	-57.302243
94	0.000559	750	-0.025191	-57.327434
95	0.000320	750	-0.021069	-57.348503
96	0.000156	750	-0.012808	-57.361311
97	0.000057	750	-0.009243	-57.370554
98	0.000010	750	-0.003905	-57.374458
99	0.000000	750	-0.000855	-57.375314
Log marginal likelihood:	-57.375314
