Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.221383	-1.221383
1	0.950747	750	-1.201656	-2.423038
2	0.926679	750	-1.174507	-3.597545
3	0.902980	750	-1.145256	-4.742801
4	0.879648	750	-1.136400	-5.879201
5	0.856682	750	-1.116790	-6.995991
6	0.834079	750	-1.135382	-8.131373
7	0.811838	750	-1.085334	-9.216707
8	0.789957	750	-1.078766	-10.295473
9	0.768433	750	-1.066248	-11.361721
10	0.747266	750	-1.043758	-12.405478
11	0.726452	750	-1.018173	-13.423651
12	0.705989	750	-1.001578	-14.425229
13	0.685877	750	-0.999657	-15.424886
14	0.666112	750	-0.980777	-16.405663
15	0.646693	750	-0.948558	-17.354221
16	0.627618	750	-0.968372	-18.322593
17	0.608884	750	-0.961846	-19.284439
18	0.590490	750	-0.922976	-20.207414
19	0.572433	750	-0.905378	-21.112792
20	0.554712	750	-0.881321	-21.994113
21	0.537324	750	-0.876626	-22.870739
22	0.520268	750	-0.855104	-23.725843
23	0.503540	750	-0.847055	-24.572898
24	0.487139	750	-0.836096	-25.408994
25	0.471063	750	-0.820435	-26.229429
26	0.455310	750	-0.803052	-27.032481
27	0.439877	750	-0.797554	-27.830035
28	0.424762	750	-0.780276	-28.610312
29	0.409963	750	-0.755515	-29.365827
30	0.395478	750	-0.768682	-30.134509
31	0.381305	750	-0.746835	-30.881344
32	0.367440	750	-0.716534	-31.597878
33	0.353883	750	-0.706967	-32.304845
34	0.340630	750	-0.697751	-33.002597
35	0.327680	750	-0.691651	-33.694248
36	0.315030	750	-0.674668	-34.368917
37	0.302677	750	-0.646514	-35.015430
38	0.290619	750	-0.669345	-35.684775
39	0.278855	750	-0.613157	-36.297932
40	0.267381	750	-0.624118	-36.922051
41	0.256195	750	-0.623762	-37.545813
42	0.245294	750	-0.584781	-38.130594
43	0.234677	750	-0.604419	-38.735014
44	0.224340	750	-0.569095	-39.304109
45	0.214281	750	-0.557601	-39.861710
46	0.204498	750	-0.546885	-40.408595
47	0.194988	750	-0.530175	-40.938770
48	0.185749	750	-0.510325	-41.449095
49	0.176777	750	-0.500573	-41.949668
50	0.168070	750	-0.497019	-42.446687
51	0.159626	750	-0.495646	-42.942332
52	0.151441	750	-0.467796	-43.410128
53	0.143514	750	-0.440646	-43.850774
54	0.135841	750	-0.443549	-44.294323
55	0.128420	750	-0.451912	-44.746235
56	0.121247	750	-0.440185	-45.186420
57	0.114320	750	-0.413671	-45.600092
58	0.107637	750	-0.390588	-45.990679
59	0.101193	750	-0.391241	-46.381921
60	0.094986	750	-0.373588	-46.755509
61	0.089014	750	-0.359759	-47.115268
62	0.083273	750	-0.354848	-47.470116
63	0.077760	750	-0.334124	-47.804240
64	0.072472	750	-0.317280	-48.121520
65	0.067406	750	-0.327654	-48.449174
66	0.062558	750	-0.298697	-48.747871
67	0.057926	750	-0.296015	-49.043885
68	0.053506	750	-0.283165	-49.327050
69	0.049295	750	-0.295088	-49.622139
70	0.045289	750	-0.279813	-49.901951
71	0.041485	750	-0.262646	-50.164597
72	0.037880	750	-0.248664	-50.413261
73	0.034469	750	-0.239161	-50.652421
74	0.031250	750	-0.233146	-50.885567
75	0.028218	750	-0.234717	-51.120284
76	0.025370	750	-0.209696	-51.329981
77	0.022702	750	-0.184746	-51.514727
78	0.020209	750	-0.169598	-51.684325
79	0.017889	750	-0.172784	-51.857109
80	0.015736	750	-0.173233	-52.030342
81	0.013746	750	-0.143662	-52.174004
82	0.011916	750	-0.131301	-52.305305
83	0.010240	750	-0.140067	-52.445372
84	0.008714	750	-0.120479	-52.565850
85	0.007334	750	-0.108297	-52.674147
86	0.006093	750	-0.093848	-52.767995
87	0.004988	750	-0.091973	-52.859968
88	0.004013	750	-0.081448	-52.941415
89	0.003162	750	-0.066442	-53.007857
90	0.002430	750	-0.056679	-53.064536
91	0.001810	750	-0.054084	-53.118620
92	0.001296	750	-0.045725	-53.164345
93	0.000882	750	-0.033032	-53.197377
94	0.000559	750	-0.027672	-53.225049
95	0.000320	750	-0.019689	-53.244739
96	0.000156	750	-0.012622	-53.257361
97	0.000057	750	-0.008840	-53.266202
98	0.000010	750	-0.004203	-53.270404
99	0.000000	750	-0.000783	-53.271187
Log marginal likelihood:	-53.271187
