Steppingstone sampler:
        No Stones:                  100
        Start It:                   10001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.447018	-1.447018
1	0.950747	750	-1.435358	-2.882376
2	0.926679	750	-1.398842	-4.281218
3	0.902980	750	-1.411515	-5.692733
4	0.879648	750	-1.364997	-7.057730
5	0.856682	750	-1.357610	-8.415340
6	0.834079	750	-1.341890	-9.757229
7	0.811838	750	-1.303368	-11.060598
8	0.789957	750	-1.291188	-12.351785
9	0.768433	750	-1.265904	-13.617690
10	0.747266	750	-1.255511	-14.873201
11	0.726452	750	-1.235711	-16.108911
12	0.705989	750	-1.244303	-17.353214
13	0.685877	750	-1.198619	-18.551832
14	0.666112	750	-1.168693	-19.720525
15	0.646693	750	-1.158668	-20.879194
16	0.627618	750	-1.145565	-22.024759
17	0.608884	750	-1.100639	-23.125398
18	0.590490	750	-1.123997	-24.249395
19	0.572433	750	-1.112774	-25.362168
20	0.554712	750	-1.069364	-26.431532
21	0.537324	750	-1.050602	-27.482134
22	0.520268	750	-1.038104	-28.520239
23	0.503540	750	-1.013526	-29.533764
24	0.487139	750	-0.999546	-30.533311
25	0.471063	750	-0.979161	-31.512471
26	0.455310	750	-0.967944	-32.480415
27	0.439877	750	-0.948361	-33.428777
28	0.424762	750	-0.927086	-34.355863
29	0.409963	750	-0.919964	-35.275827
30	0.395478	750	-0.898676	-36.174503
31	0.381305	750	-0.868038	-37.042541
32	0.367440	750	-0.868656	-37.911197
33	0.353883	750	-0.862959	-38.774156
34	0.340630	750	-0.832769	-39.606925
35	0.327680	750	-0.811318	-40.418243
36	0.315030	750	-0.787568	-41.205812
37	0.302677	750	-0.785768	-41.991579
38	0.290619	750	-0.770212	-42.761791
39	0.278855	750	-0.735513	-43.497304
40	0.267381	750	-0.734391	-44.231695
41	0.256195	750	-0.734089	-44.965784
42	0.245294	750	-0.720774	-45.686558
43	0.234677	750	-0.680278	-46.366836
44	0.224340	750	-0.683807	-47.050643
45	0.214281	750	-0.667822	-47.718465
46	0.204498	750	-0.640981	-48.359446
47	0.194988	750	-0.627396	-48.986842
48	0.185749	750	-0.621603	-49.608445
49	0.176777	750	-0.587160	-50.195605
50	0.168070	750	-0.590631	-50.786236
51	0.159626	750	-0.580553	-51.366789
52	0.151441	750	-0.565662	-51.932451
53	0.143514	750	-0.558606	-52.491057
54	0.135841	750	-0.532436	-53.023494
55	0.128420	750	-0.530441	-53.553935
56	0.121247	750	-0.486660	-54.040595
57	0.114320	750	-0.494052	-54.534647
58	0.107637	750	-0.506511	-55.041158
59	0.101193	750	-0.445781	-55.486939
60	0.094986	750	-0.458451	-55.945390
61	0.089014	750	-0.439027	-56.384418
62	0.083273	750	-0.415979	-56.800397
63	0.077760	750	-0.416455	-57.216851
64	0.072472	750	-0.403303	-57.620154
65	0.067406	750	-0.390335	-58.010489
66	0.062558	750	-0.364017	-58.374506
67	0.057926	750	-0.370295	-58.744801
68	0.053506	750	-0.340644	-59.085444
69	0.049295	750	-0.355383	-59.440827
70	0.045289	750	-0.323205	-59.764032
71	0.041485	750	-0.314418	-60.078450
72	0.037880	750	-0.287220	-60.365671
73	0.034469	750	-0.296365	-60.662036
74	0.031250	750	-0.270541	-60.932577
75	0.028218	750	-0.277886	-61.210463
76	0.025370	750	-0.243249	-61.453712
77	0.022702	750	-0.233568	-61.687280
78	0.020209	750	-0.226427	-61.913707
79	0.017889	750	-0.219138	-62.132845
80	0.015736	750	-0.206600	-62.339445
81	0.013746	750	-0.194906	-62.534351
82	0.011916	750	-0.185222	-62.719573
83	0.010240	750	-0.148968	-62.868540
84	0.008714	750	-0.163494	-63.032034
85	0.007334	750	-0.130492	-63.162526
86	0.006093	750	-0.132066	-63.294592
87	0.004988	750	-0.100817	-63.395410
88	0.004013	750	-0.083933	-63.479343
89	0.003162	750	-0.105897	-63.585240
90	0.002430	750	-0.070535	-63.655775
91	0.001810	750	-0.067557	-63.723332
92	0.001296	750	-0.053745	-63.777077
93	0.000882	750	-0.042350	-63.819427
94	0.000559	750	-0.033372	-63.852800
95	0.000320	750	-0.024985	-63.877785
96	0.000156	750	-0.016478	-63.894262
97	0.000057	750	-0.011314	-63.905577
98	0.000010	750	-0.004644	-63.910221
99	0.000000	750	-0.001073	-63.911294
Log marginal likelihood:	-63.911294
