Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.406555	-1.406555
1	0.950747	750	-1.388196	-2.794752
2	0.926679	750	-1.355869	-4.150621
3	0.902980	750	-1.367770	-5.518391
4	0.879648	750	-1.338523	-6.856914
5	0.856682	750	-1.313701	-8.170615
6	0.834079	750	-1.295491	-9.466106
7	0.811838	750	-1.257245	-10.723351
8	0.789957	750	-1.251327	-11.974678
9	0.768433	750	-1.233397	-13.208075
10	0.747266	750	-1.224949	-14.433024
11	0.726452	750	-1.211407	-15.644431
12	0.705989	750	-1.168178	-16.812609
13	0.685877	750	-1.150389	-17.962998
14	0.666112	750	-1.145802	-19.108800
15	0.646693	750	-1.112123	-20.220923
16	0.627618	750	-1.106126	-21.327049
17	0.608884	750	-1.111739	-22.438788
18	0.590490	750	-1.070887	-23.509675
19	0.572433	750	-1.057449	-24.567125
20	0.554712	750	-1.025529	-25.592654
21	0.537324	750	-1.006914	-26.599568
22	0.520268	750	-1.014040	-27.613608
23	0.503540	750	-0.978487	-28.592095
24	0.487139	750	-0.958136	-29.550231
25	0.471063	750	-0.947783	-30.498013
26	0.455310	750	-0.929798	-31.427811
27	0.439877	750	-0.899380	-32.327191
28	0.424762	750	-0.874329	-33.201520
29	0.409963	750	-0.875157	-34.076677
30	0.395478	750	-0.850272	-34.926949
31	0.381305	750	-0.856511	-35.783460
32	0.367440	750	-0.834468	-36.617928
33	0.353883	750	-0.815454	-37.433382
34	0.340630	750	-0.787187	-38.220569
35	0.327680	750	-0.775425	-38.995993
36	0.315030	750	-0.763432	-39.759425
37	0.302677	750	-0.743016	-40.502441
38	0.290619	750	-0.730268	-41.232709
39	0.278855	750	-0.725021	-41.957731
40	0.267381	750	-0.709698	-42.667429
41	0.256195	750	-0.679613	-43.347042
42	0.245294	750	-0.667309	-44.014351
43	0.234677	750	-0.650646	-44.664997
44	0.224340	750	-0.639163	-45.304160
45	0.214281	750	-0.616932	-45.921092
46	0.204498	750	-0.606923	-46.528015
47	0.194988	750	-0.604683	-47.132698
48	0.185749	750	-0.572029	-47.704727
49	0.176777	750	-0.567619	-48.272346
50	0.168070	750	-0.554892	-48.827238
51	0.159626	750	-0.528791	-49.356029
52	0.151441	750	-0.508465	-49.864494
53	0.143514	750	-0.501959	-50.366454
54	0.135841	750	-0.491000	-50.857454
55	0.128420	750	-0.483326	-51.340779
56	0.121247	750	-0.464761	-51.805540
57	0.114320	750	-0.445831	-52.251371
58	0.107637	750	-0.433385	-52.684756
59	0.101193	750	-0.434560	-53.119316
60	0.094986	750	-0.409965	-53.529281
61	0.089014	750	-0.393699	-53.922980
62	0.083273	750	-0.378877	-54.301857
63	0.077760	750	-0.367059	-54.668916
64	0.072472	750	-0.351293	-55.020210
65	0.067406	750	-0.338147	-55.358356
66	0.062558	750	-0.327041	-55.685397
67	0.057926	750	-0.317074	-56.002471
68	0.053506	750	-0.303765	-56.306236
69	0.049295	750	-0.290014	-56.596249
70	0.045289	750	-0.287278	-56.883527
71	0.041485	750	-0.272744	-57.156271
72	0.037880	750	-0.254662	-57.410933
73	0.034469	750	-0.242541	-57.653474
74	0.031250	750	-0.236777	-57.890251
75	0.028218	750	-0.214113	-58.104364
76	0.025370	750	-0.212286	-58.316649
77	0.022702	750	-0.206699	-58.523348
78	0.020209	750	-0.187556	-58.710904
79	0.017889	750	-0.168989	-58.879893
80	0.015736	750	-0.170335	-59.050227
81	0.013746	750	-0.152094	-59.202321
82	0.011916	750	-0.142881	-59.345202
83	0.010240	750	-0.137309	-59.482511
84	0.008714	750	-0.125955	-59.608466
85	0.007334	750	-0.117353	-59.725819
86	0.006093	750	-0.106784	-59.832603
87	0.004988	750	-0.088250	-59.920853
88	0.004013	750	-0.075819	-59.996672
89	0.003162	750	-0.083827	-60.080498
90	0.002430	750	-0.060040	-60.140538
91	0.001810	750	-0.052497	-60.193035
92	0.001296	750	-0.042020	-60.235055
93	0.000882	750	-0.036409	-60.271464
94	0.000559	750	-0.028012	-60.299476
95	0.000320	750	-0.021294	-60.320770
96	0.000156	750	-0.014235	-60.335005
97	0.000057	750	-0.009146	-60.344151
98	0.000010	750	-0.004033	-60.348185
99	0.000000	750	-0.000841	-60.349025
Log marginal likelihood:	-60.349025
